category,store_name,original_price,discount_percent,price,rating,comment_count,name,sold,link
Snacks & Confectionery,RUVASK,"₫ 68,000",-27%,"₫49,500",4.9,(252),Socola Đen Đắng NGUYÊN CHẤT Không Đường 100% Hộp 24 Miếng - SCL Đen Ăn Kiêng YIKANONG Hộp 120G - Chocolate Ruvask,1.1K sold,https://www.lazada.vn/products/pdp-i2729117112.html
Snacks & Confectionery,Paco Food,,,"₫3,000",4.6,(9),Kẹo bột hủ trái cây thời 8x 9x bánh kẹo tuổi thơ ăn vặt đủ mùi đủ vị,62 sold,https://www.lazada.vn/products/pdp-i2379478136.html
Snacks & Confectionery,Shopp Bach Hoa,"₫ 35,000",-26%,"₫26,000",4.7,(74),"Socola đen đắng nguyên chất không đường 100%, Chocolate ăn kiêng thanh gói lẻ - hộp 120 gram",379 sold,https://www.lazada.vn/products/pdp-i2516120974.html
Snacks & Confectionery,pdgroup.Selection,"₫ 40,200",-29%,"₫28,700",5,(75),Kẹo mềm Dynamite Chews vị Socola Bạc Hà gói 125g,401 sold,https://www.lazada.vn/products/pdp-i2674710043.html
Food Staples & Cooking Essentials,SG Foods.Selection,"₫ 22,200",-34%,"₫14,700",5,(6633),"Cháo Tươi SGFood Thịt Thăn Rau Củ 240g – Dinh Dưỡng Cân Bằng, Thơm Ngon & Tiện Lợi Cho Mọi Bữa Ăn!",27.7K sold,https://www.lazada.vn/products/pdp-i2433596271.html
Snacks & Confectionery,Tân Lộc Phát Food.Selection,"₫ 25,100",-29%,"₫17,900",5,(3),KẸO DÂU TẰM TÂN LỘC PHÁT - BỊCH 100G,92 sold,https://www.lazada.vn/products/pdp-i3111328066.html
Snacks & Confectionery,SHOP HAIMY,"₫ 79,000",-25%,"₫50,000",4.9,(575),"Haimy shop 1kg of mochi cake with milk cream mix 6 taste super delicious, fat!   MCLUNE",1.6K sold,https://www.lazada.vn/products/pdp-i2586289413.html
Snacks & Confectionery,Tân Lộc Phát Food.Selection,"₫ 62,400",-23%,"₫48,000",5,(11),Kẹo Thạch Suso Thanh Dài 800g 24 thanh Đồ Ăn Vặt Yêu Thích,396 sold,https://www.lazada.vn/products/pdp-i3110917383.html
Snacks & Confectionery,AN VAT SHOP ME TOM,"₫ 381,666",-35%,"₫105,000",4.5,(4),"Sỉ thùng 2,5kg bánh mochi kem lạnh phủ dừa đủ màu đủ vị",15 sold,https://www.lazada.vn/products/pdp-i3014699451.html
Snacks & Confectionery,PhươngMinh.Selection,"₫ 25,100",-24%,"₫19,000",5,(482),Bánh Quy Kem Oreo 110.4gr,7.5K sold,https://www.lazada.vn/products/pdp-i3067713745.html
Snacks & Confectionery,Đăng Quang Shop,"₫ 155,000",-43%,"₫89,000",4.6,(14),Bánh mochi đài loan mix 4 vị hai cô gái gói 2kg Đồ ăn vặt cô nương béo,132 sold,https://www.lazada.vn/products/pdp-i2820935858.html
Snacks & Confectionery,Miavina Mart,,,"₫80,000",4.8,(10),Indian Sweets ( Mithai),48 sold,https://www.lazada.vn/products/pdp-i2647977073.html
Food Staples & Cooking Essentials,NHẤT TÍN Food.Selection,"₫ 46,200",-29%,"₫33,000",5,(1309),Bột Tỏi sấy lạnh nguyên chất NTPowder 100g - Bột Gia Vị - Nhất Tín Food,3.7K sold,https://www.lazada.vn/products/pdp-i2481825452.html
Snacks & Confectionery,Cam My flower tea,,,"₫169,000",5,(2),"Kẹo Nougat - Kẹo Hạnh Phúc -  Kẹo Siêu Hạt Ăn Kiêng -  Kẹo Trái Cây -  Kẹo Đậu Phộng - Kẹo Dẻo - Kẹo Ngon,..",7 sold,https://www.lazada.vn/products/pdp-i3145432578.html
Snacks & Confectionery,SUMI_SHOPĐặc Sản Ba Miền 0902451254,"₫ 45,000",-20%,"₫36,000",4.9,(107),Loại Đăc Biệt 1 Lon Kẹo Mạch Nha Nếp Quảng Ngãi Vàng ~400gr,557 sold,https://www.lazada.vn/products/pdp-i2186535473.html
Snacks & Confectionery,Nguyên liệu làm bánh Nhất An 0931847626,,,"₫90,000",5,(29),Socola chip đen Colatta (chia lẻ từ bao 5kg),110 sold,https://www.lazada.vn/products/pdp-i595562490.html
Snacks & Confectionery,WANT WANT Store,,,"₫85,000",4.9,(63),"24.5g package multi-layer cat legs QQ gummies want gum paste, squishy candy, delicious",285 sold,https://www.lazada.vn/products/pdp-i3168994487.html
Snacks & Confectionery,Trung Hoa FOOD,"₫ 41,850",-28%,"₫28,000",4.9,(257),1 gói 320gr Kẹo dẻo trái cây Top Fruit thơm ngon bổ dưỡng,8.0K sold,https://www.lazada.vn/products/pdp-i2209735030.html
Snacks & Confectionery,ShopNgocHan88,,,"₫6,700",5,(608),Bim Bim Khoai Tây Lay's các vị 30gr - Date luôn mới,3.7K sold,https://www.lazada.vn/products/pdp-i2521532071.html
Food Staples & Cooking Essentials,CNF ChineseFood,"₫ 4,000",-30%,"₫2,800",4.9,(416),Xúc Xích Bò BBQ Cay Nhẹ Đồ Ăn Vặt Trung Hoa,6.6K sold,https://www.lazada.vn/products/pdp-i1936021997.html
Food Staples & Cooking Essentials,Anvy Foods 01,"₫ 155,000",-5%,"₫149,000",4.9,(380),[ Combo 3 mói siêu hời ] Khô Gà Lá Chanh 300Gram + Khô Bò Sợi Ngắn 300Gram + Khô Mực Cán Tẩm 200Gram,1.0K sold,https://www.lazada.vn/products/pdp-i2650357077.html
Food Staples & Cooking Essentials,Anvy Foods 01,"₫ 79,000",-10%,"₫79,000",4.9,(583),"Khô Bò Mềm Nguyên Miếng 500gr, chuẩn Hàng loại 1",1.9K sold,https://www.lazada.vn/products/pdp-i2358139882.html
Food Staples & Cooking Essentials,SuSuTo Shop.Selection,"₫ 66,000",-44%,"₫37,000",4.9,(94),"Chà bông heo xù Let's Nuts hộp 250g loại thượng hạng, dinh dưỡng cho bữa ăn gia đình",535 sold,https://www.lazada.vn/products/pdp-i2616438772.html
Snacks & Confectionery,Phukiensaleoff.Selection,"₫ 45,500",-29%,"₫32,500",4.8,(331),BÁNH GẤU NHÂN KEM MIX VỊ LOẠI ĐẶC BIỆT,1.1K sold,https://www.lazada.vn/products/pdp-i2651838341.html
Food Staples & Cooking Essentials,Bách Hóa Cổ Đông N01,"₫ 55,000",-42%,"₫14,000",4.9,(33),"300g Bánh tráng Tây Ninh đủ vị ( Xì ke , Rong biển , Cuộn tôm , phô mai ..)",136 sold,https://www.lazada.vn/products/pdp-i2638688267.html
Food Staples & Cooking Essentials,Bách Hóa Cổ Đông N01,"₫ 50,000",-44%,"₫28,000",4.7,(13),Combo SIÊU BƠ 200g bánh tráng phơi sương mềm dẻo + 150g bơ béo + 150g muối tép hành cay,43 sold,https://www.lazada.vn/products/pdp-i2677063664.html
Food Staples & Cooking Essentials,SuSuTo Shop.Selection,"₫ 42,700",-29%,"₫30,500",4.8,(207),"Khoai lang mật ong mix vàng tím giòn, thơm hộp 200g sang trọng hợp vệ sinh món ăn vặt healthy",930 sold,https://www.lazada.vn/products/pdp-i2616546108.html
Food Staples & Cooking Essentials,Ăn Vặt Linh Foods,"₫ 89,000",-17%,"₫73,500",4.9,(3224),Khô Bò Miếng Mềm Lon Pet 250gr ĐẶC BIỆT,11.0K sold,https://www.lazada.vn/products/pdp-i2089426604.html
Food Staples & Cooking Essentials,LÀNG ME VEGETARIAN FOODS,"₫ 42,200",-29%,"₫30,100",4.9,(187),"Bóng Cá Chay , cá chay Khô Ngon Loại 1 Làng Me , chế biến món chay ngon ( gói 200 gr ) , Hàng công ty không chất bảo quản , không biến đổi Gen",482 sold,https://www.lazada.vn/products/pdp-i2610628569.html
Snacks & Confectionery,pdgroup.Selection,"₫ 37,100",-29%,"₫26,500",4.7,(372),Bánh AFC mặn hộp 86gr vị lúa mì rau củ,1.3K sold,https://www.lazada.vn/products/pdp-i2674630458.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 58,800",-23%,"₫45,200",4.8,(63),500gr rong sụn rong chân vịt nấu chè nguyên liệu khô,242 sold,https://www.lazada.vn/products/pdp-i2619706255.html
Food Staples & Cooking Essentials,Nem Lai Vung Hồng Vy,"₫ 40,000",-45%,"₫22,000",4.8,(1940),Nem Chua Lai Vung (10 chiếc / Hộp) Loại Nhất,19.1K sold,https://www.lazada.vn/products/pdp-i1690193973.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 33,600",-33%,"₫22,500",5,(48369),[Acecook] 1 lọ 120gr muối chấm Hảo Hảo vị Tôm chua cay mẫu bao bì mới,194.1K sold,https://www.lazada.vn/products/pdp-i2408232189.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 30,300",-29%,"₫21,600",4.9,(224),200gr củ cải sợi muối phơi khô tự nhiên dai giòn mằn mặn,540 sold,https://www.lazada.vn/products/pdp-i2619640584.html
Snacks & Confectionery,pdgroup.Selection,"₫ 40,500",-29%,"₫28,900",4.9,(160),Kẹo sữa bò Jack Jill Lush gói 140gr,493 sold,https://www.lazada.vn/products/pdp-i2674589993.html
Food Staples & Cooking Essentials,Shop chè dưỡng nhan .Selection,"₫ 49,400",-19%,"₫39,900",4.9,(1050),500gr táo đỏ tân cương,3.6K sold,https://www.lazada.vn/products/pdp-i2787281575.html
Snacks & Confectionery,PhươngMinh.Selection,"₫ 41,900",-29%,"₫29,900",5,(115),Bánh Oreo Pie Vị Marshmallow Vani Hộp X 168G,1.3K sold,https://www.lazada.vn/products/pdp-i3067920163.html
Food Staples & Cooking Essentials,Viettin Mart 1593072786,"₫ 50,000",-52%,"₫25,900",4.8,(1410),500g trái cây sấy thập cẩm HÀNG VỤN - Viettin Mart,7.2K sold,https://www.lazada.vn/products/pdp-i711278043.html
Food Staples & Cooking Essentials,LÀNG ME VEGETARIAN FOODS,"₫ 42,200",-29%,"₫30,100",4.9,(100),"Thịt Bằm Chay , thịt bằm chay Khô Ngon Loại 1 Làng Me , chế biến món chay ngon ( gói 200 gr ) , Hàng công ty không chất bảo quản , không biến đổi Gen",274 sold,https://www.lazada.vn/products/pdp-i2610649432.html
Milk Formula & Baby Food,Ăn dặm cùng Su Dứa,"₫ 95,000",-26%,"₫70,000",,Reviews,Phô Mai QBB Nhật Bản Cho Bé Ăn Dặm 90gr (Date mới nhất),6 sold,https://www.lazada.vn/products/pdp-i3113769082.html
Snacks & Confectionery,Kinh Đô.Selection,"₫ 58,500",-23%,"₫45,000",5,(233),Bánh Quy Ritz Mặn 247gr,725 sold,https://www.lazada.vn/products/pdp-i2904712404.html
Food Staples & Cooking Essentials,Hạt Điều Rang Muối Hoàng Phát,"₫ 100,000",-22%,"₫79,000",4.9,(2552),HỘP 500G HẠT ĐIỀU RANG CỦI TRUYỀN THỐNG NGUYÊN HẠT SẠCH VỎ - SẢN XUẤT HÀNG NGÀY,12.1K sold,https://www.lazada.vn/products/pdp-i1795056082.html
Food Staples & Cooking Essentials,Paco Food,"₫ 120,000",-34%,"₫79,000",4.7,(25),[M4 MÊ LY] combo bánh tráng phơi sương m4 Paco Food 300g bánh 1 hủ ruốc hành 1 hủ tóp mỡ 1 muối béo 1 chai bơ 2 sốt,96 sold,https://www.lazada.vn/products/pdp-i2909360007.html
Snacks & Confectionery,PhươngMinh.Selection,"₫ 27,300",-29%,"₫19,500",4.9,(353),Bánh Ritz phô mai 118g,1.7K sold,https://www.lazada.vn/products/pdp-i3068782757.html
Snacks & Confectionery,Cao Bồi Food.Selection,"₫ 63,600",-23%,"₫39,800",4.9,(49),Bánh Thuyền Mix Hạt Bịch | Shop Cao Bồi Food,181 sold,https://www.lazada.vn/products/pdp-i2751361582.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 50,500",-23%,"₫38,800",4.8,(197),Combo 3 gói 100gr tép sấy ăn liền đặc biệt thơm ngon ăn bánh tráng - nhậu lai rai - ăn với gỏi đồ ăn vặt giá rẻ,434 sold,https://www.lazada.vn/products/pdp-i2737910119.html
Food Staples & Cooking Essentials,BACH HOA NHA VEO,"₫ 17,500",-22%,"₫13,700",4.5,(13),"[GÓI] Củ Cải Giòn Tứ Xuyên, Củ Cải Muối Trung Quốc Siêu Ngon – Gói 106g – Hàng Chuẩn",100 sold,https://www.lazada.vn/products/pdp-i2338966701.html
Bakery & Breakfast,GIÒ CHẢ TƯ PHƯƠNG,"₫ 80,000",-25%,"₫72,000",4.9,(341),"20 BÁNH TÍ HON SIÊU TIẾT KIỆM- BÁNH MÌ TƯƠI  TÍ HON TRỮ ĐÔNG BỊCH 20 CÁI SIÊU TIẾT KIỆM LOẠI 40GRAM - KHÁCH MUA VỀ TRỮ NGĂN MÁT TỦ LẠNH DÙNG DẦN RẤT TIỆN LỢi- LÒ BÁNH MÌ TƯ PHƯƠNG- BÁNH MÌ CHUỘT- BÁNH MÌ PHÁP- BÁNH TI HON, MINI",950 sold,https://www.lazada.vn/products/pdp-i2283400794.html
Food Staples & Cooking Essentials,BON SHOP 2017ST,"₫ 4,000",-48%,"₫2,100",,Reviews,HOT Cá cay hồ nam đồ ăn vặt cay,,https://www.lazada.vn/products/pdp-i3183796072.html
Snacks & Confectionery,pdgroup.Selection,"₫ 34,500",-29%,"₫24,600",4.8,(52),Kẹo Dynamite nhân muối ớt hương xoài xanh và ổi hồng gói 96g,221 sold,https://www.lazada.vn/products/pdp-i2674684119.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 70,600",-23%,"₫54,300",4.9,(45),Gói 200gr kỷ tử đỏ sấy khô làm nguyên liệu chế biến món ăn,139 sold,https://www.lazada.vn/products/pdp-i2619697308.html
Food Staples & Cooking Essentials,Storebinhtantphcm,"₫ 30,000",-53%,"₫15,000",4.5,(72),Bánh tráng phơi sương cuốn Bơ chà bông ruốc-bánh tráng Tây ninh,334 sold,https://www.lazada.vn/products/pdp-i2101529572.html
Snacks & Confectionery,Tân Lộc Phát Food.Selection,"₫ 37,800",-29%,"₫27,000",5,(478),ĐẬU PHỘNG CỐT DỪA TỎI ỚT TÂN LỘC PHÁT BỊCH 250G,1.6K sold,https://www.lazada.vn/products/pdp-i2686699021.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 43,700",-29%,"₫31,200",5,(30),"[Mới] Tương ớt chinsu đượm vị cay bùng vị ngon tỏi ớt 250g, 500g",81 sold,https://www.lazada.vn/products/pdp-i2786352161.html
Food Staples & Cooking Essentials,SIÊU_THỊ_ĐỒ_KHÔ_VŨNG TÀU.Selection,"₫ 66,000",-23%,"₫50,700",4.9,(622),500G RUỐC KHÔ VŨNG TÀU [HCM][GIAO HÀNG HỎA TỐC],1.6K sold,https://www.lazada.vn/products/pdp-i2618902343.html
Food Staples & Cooking Essentials,Bách Hóa Cổ Đông N01,"₫ 25,000",-24%,"₫19,000",5,(4),"BÒ MIẾNG HẰNG ĐẠI GÓI TO 40 MIẾNG CAY SIÊU HOT đồ ăn vặt, ăn vặt hot",20 sold,https://www.lazada.vn/products/pdp-i2633584986.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 49,300",-23%,"₫37,900",4.9,(108),Combo 7 gói HẢO 100 hương vị tôm chua cay Acecook gói 65gr,285 sold,https://www.lazada.vn/products/pdp-i2728446753.html
Food Staples & Cooking Essentials,Bách Hóa Cổ Đông N01,"₫ 130,000",-44%,"₫39,000",4.9,(678),1KG MỨT CHÀ LÀ SẤY DẺO KHÔNG ĐƯỜNG ẤN ĐỘ DẺO NGON THƯỢNG HẠNG,2.4K sold,https://www.lazada.vn/products/pdp-i2330435033.html
Snacks & Confectionery,Let's Nuts,"₫ 119,000",-41%,"₫23,175",4.8,(675),"Chuối sấy mè gừng Let's Nuts túi 500g giòn, ngọt, thơm, đồ ăn vặt tuyệt hảo cho hội nhóm, những chuyến du lịch, làm quà tặng",1.8K sold,https://www.lazada.vn/products/pdp-i2603968340.html
Bakery & Breakfast,Van Tuong Cake,"₫ 115,000",-14%,"₫99,000",4.9,(3288),thùng bánh Mix đủ vị nhiều trọng lượng cho khách lựa chọn 500g- 1kg - 2kg đặc biệt là không cân thùng nha khách iu ( shop tự mix),9.0K sold,https://www.lazada.vn/products/pdp-i2416499853.html
Food Staples & Cooking Essentials,CHẢLỤANGON,"₫ 86,000",-19%,"₫69,316",4.9,(858),BÒ VIÊN NHÀ LÀM ( 500G ),2.3K sold,https://www.lazada.vn/products/pdp-i2051577595.html
Food Staples & Cooking Essentials,CNF ChineseFood,"₫ 9,000",-39%,"₫4,700",4.9,(674),"Thanh Cua Tẩm Vị Ăn Liền , Đồ Ăn Vặt Thanh Cua Đỏ Cay",14.2K sold,https://www.lazada.vn/products/pdp-i1938715316.html
Food Staples & Cooking Essentials,thucphamgiasi,"₫ 50,000",-20%,"₫40,000",4.7,(398),500g bánh gạo tokbokki Hàn Quốc Jofood kèm 100g sốt,2.1K sold,https://www.lazada.vn/products/pdp-i1551228082.html
Food Staples & Cooking Essentials,shop9890,"₫ 200,000",-32%,"₫69,000",4.9,(12564),Khô gà lá chanh - 2 hũ 500g nguyên liệu cao cấp hương vị thơm ngon đảm bảo vệ sinh an toàn thực phẩm,62.4K sold,https://www.lazada.vn/products/pdp-i388316890.html
Food Staples & Cooking Essentials,MASAN CONSUMER,"₫ 378,000",-27%,"₫253,000",5,(6306),[Chọn Vị] Thùng Mì Omachi  - Thùng 30 Gói x 80G,20.5K sold,https://www.lazada.vn/products/pdp-i2284675912.html
Snacks & Confectionery,Phukiensaleoff.Selection,"₫ 50,200",-23%,"₫38,600",4.9,(227),500g bim bim que đậu hà lan-ăn vặt út nhi,681 sold,https://www.lazada.vn/products/pdp-i2651878201.html
Food Staples & Cooking Essentials,Storebinhtantphcm,"₫ 15,000",-53%,"₫7,117",4.8,(361),Bánh tráng mix sate hành phi muối nhuyễn tắc nhà làm,4.9K sold,https://www.lazada.vn/products/pdp-i2121258572.html
Food Staples & Cooking Essentials,Tân Lộc Phát Food.Selection,"₫ 46,800",-29%,"₫33,400",4.9,(154),KHÔ BÒ MIẾNG TÂN LỘC PHÁT BỊCH 100G,744 sold,https://www.lazada.vn/products/pdp-i2685950026.html
Food Staples & Cooking Essentials,Vựa Khô Minh Triết,"₫ 189,000",-36%,"₫60,100",4.8,(382),Lạp Xưởng Tôm và Lạp Xưởng Heo Tươi Mai Quế Lộ Đặc Biệt Thơm Ngon ĐẶC SẢN SÓC TRĂNG - Vựa Khô Minh Triết,1.3K sold,https://www.lazada.vn/products/pdp-i1856351021.html
Snacks & Confectionery,PhươngMinh.Selection,"₫ 46,900",-29%,"₫33,500",5,(2),Gói Bánh Quy Oreo Vị Vani - Gói X 248.4G Kinh Đô,1.1K sold,https://www.lazada.vn/products/pdp-i3068675851.html
Snacks & Confectionery,Denfood.Selection,"₫ 141,600",-23%,"₫32,500",5,(151),Kẹo Ngậm Trái Cây Vitamin C Không Đường Đủ Vị - 100g/300g/500g,1.6K sold,https://www.lazada.vn/products/pdp-i2835036754.html
Food Staples & Cooking Essentials,NHÃ UYÊN KHƠI MÂY,"₫ 75,000",-50%,"₫37,500",4.8,(334),500gr bánh tráng xike muối tỏi siêu cay,1.7K sold,https://www.lazada.vn/products/pdp-i1604721613.html
Food Staples & Cooking Essentials,LÀNG ME VEGETARIAN FOODS,"₫ 81,700",-23%,"₫62,800",5,(241),"Sườn Non Chay , sườn chay Khô Ngon Loại 1 Làng Me , chế biến món chay ngon ( gói 500 gr ) , Hàng công ty không chất bảo quản , không biến đổi Gen",805 sold,https://www.lazada.vn/products/pdp-i2604213380.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 38,700",-29%,"₫27,600",4.9,(42),200gr rong chân vịt rong sụn rau câu nấu chè,144 sold,https://www.lazada.vn/products/pdp-i2619706254.html
Pet Food,MarketPetshop,"₫ 32,300",-45%,"₫16,000",4.7,(90),"GÀ SẤY DẺO CHO CHÓ TRƯỞNG THÀNH, TREAT THƯỞNG CHO CHÓ TRƯỞNG THÀNH 50GRAM",810 sold,https://www.lazada.vn/products/pdp-i2293690694.html
Snacks & Confectionery,FoodMap Flagships Store.Selection,"₫ 30,300",-33%,"₫20,200",5,(20003),Kẹo Dynamite BigBang Vị Socola Bạc Hà - Gói 120g,58.6K sold,https://www.lazada.vn/products/pdp-i2473603335.html
Food Staples & Cooking Essentials,Anvy Foods 01,"₫ 80,000",-11%,"₫71,162",4.9,(141),"Khô gà lá chanh 500gr giòn dai, đậm vị ( Ăn vặt AnVy Foods )",484 sold,https://www.lazada.vn/products/pdp-i2358246862.html
Food Staples & Cooking Essentials,ChuChan,"₫ 55,000",-17%,"₫45,500",4.9,(54),Bánh tráng trộn hành phi (hũ 300gram) Chuchan,332 sold,https://www.lazada.vn/products/pdp-i2745721399.html
Snacks & Confectionery,SuSuTo Shop.Selection,"₫ 52,300",-29%,"₫37,300",4.9,(43),Kẹo dẻo sữa trái cây đặc sản Đà Lạt Let's Nuts hộp 300g,161 sold,https://www.lazada.vn/products/pdp-i3040555295.html
Food Staples & Cooking Essentials,Tạp Hoá HULA,,,"₫100,000",5,(2),COMBO THẤT TUYỆT - 7 Món Đồ Ăn Vặt Chân Ái Siêu Hấp Dẫn - HULA FOOD,23 sold,https://www.lazada.vn/products/pdp-i2581299330.html
Food Staples & Cooking Essentials,Trà sữa Soda Super,,,"₫31,900",5,(3),[SX 05.2025] Vải Thiều Ngâm Nước Đường Đóng Lon 560g - LOTUSFOOD,69 sold,https://www.lazada.vn/products/pdp-i3109104719.html
Snacks & Confectionery,PhươngMinh.Selection,"₫ 52,000",-29%,"₫37,100",5,(19),Bánh Khoai Tây Slide Vị Thịt Nướng 90gr,61 sold,https://www.lazada.vn/products/pdp-i3042145435.html
Food Staples & Cooking Essentials,pdgroup.Selection,"₫ 55,700",-23%,"₫42,800",5,(6),Gói 250gr táo lát sấy khô snack táo giòn đồ ăn vặt,23 sold,https://www.lazada.vn/products/pdp-i2826915070.html
