category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,link,
Điện,GlobalSuperBazaar,584.000 ₫,-53%,274480,,,"NJTY T21L Đồng Hồ Vạn Năng Kỹ Thuật Số Điện Cảm 600μH-60H Chu Kỳ Làm Việc 0,1-99% Nhiệt Độ DC AC Amp Điện Áp Điện Trở Điện Dung NCV Hz",6 Đã bán,https://www.lazada.vn/products/pdp-i3058185880.html,
Phụ kiện trò chơi điện tử,HAWEEL.Achoice-VN,11.200 ₫,-38%,6944,-828,4.9,Đồng Hồ Trẻ Em Màn Hình Cảm Ứng – Đồng Hồ Kỹ Thuật Số Dây Đeo Điều Chỉnh,4.9K Đã bán,https://www.lazada.vn/products/pdp-i2520228597.html,
Điện,Phụ Kiện Điện Tử Minh Phúc,100.000 ₫,-45%,55000,-24,4.8,"Thiết bị tiết kiệm điện, thiết bị tiết kiệm hiệu quả ,tiết kiệm 50% điện năng",87 Đã bán,https://www.lazada.vn/products/pdp-i3111952154.html,
Điện,Linh Kiện Điện Tử ViNa,,,,-428,4.9,"Đồng Hồ Vạn Năng Điện Tử XL830L XL830 830 - Đồng Hồ Đo Điện áp DC, AC, Đo dòng điện, đo điện trở (Có Pin)",1.2K Đã bán,https://www.lazada.vn/products/pdp-i2225409929.html,
Dụng cụ đo lường,Thiết Bị Đo Lường DWTech,,,,-11,5,"Đồng hồ vạn năng mã hiệu M118A ( Multimeter ) hãng ANENG đo điện, điện tử",27 Đã bán,https://www.lazada.vn/products/pdp-i2371983745.html,
Điện,ZzSunnyzZ,25.900 ₫,-13%,22533,-8,5,"Volt Kế Điện Tử Hai Dây AC 220V 0.56 inch, Đồng Hồ Đo Vôn, Điện Áp AC 70V-500V, LED Hiển Thị",116 Đã bán,https://www.lazada.vn/products/pdp-i2786475469.html,
Điện,MichanK,120.000 ₫,-57%,51600,-116,4.3,(Có Đèn & Loa) Đồng Hồ Đo Điện Vạn Năng VOM SANWAI YX-360TRE-L-B Có Đèn Và Loa Báo Đo Thông Mạch Tiện Dụng,401 Đã bán,https://www.lazada.vn/products/pdp-i2777827659.html,
Dụng cụ đo lường,Electrical,139.000 ₫,-37%,87570,-64,4.8,Công tơ điện tử 1 pha 220V-80A LW - đồng hồ đo công suất tiêu thụ Kwh,577 Đã bán,https://www.lazada.vn/products/pdp-i2120640285.html,
Dụng cụ đo lường,Home_Technology_89,139.000 ₫,-36%,88960,-6,4.8,"Công tơ điện tử 1 pha đa năng LW80A/220v đo công suất, điện áp, cường độ,",72 Đã bán,https://www.lazada.vn/products/pdp-i1599514740.html,
Điện,Tổng Kho Linh Kiện Điện Tử VN,,,,-34,4.6,"Đồng Hồ Vạn Năng Điện Tử XL830L XL830 830 - Đồng Hồ Đo Điện áp DC, AC, Đo dòng điện, đo điện trở (Có Pin)",121 Đã bán,https://www.lazada.vn/products/pdp-i2225479414.html,
Dụng cụ cầm tay & phụ kiện,Thế Giới Linh Kiện 720,71.000 ₫,-40%,42600,-229,4.8,"Đồng hồ đo điện tử vạn năng DT830B Digital Multimeter, đồng hồ đo điện đa năng, đo điện áp, ampe, diode... hiển thị kỹ thuật số, đồng hồ đo có kèm pin theo",742 Đã bán,https://www.lazada.vn/products/pdp-i1427164470.html,
Dụng cụ nhà bếp,CleverOfficial Store,136.000 ₫,-42%,78880,-7,5,⚡Miễn Phí Vận Chuyển⚡Cân Tiểu Ly Điện Tử Dùng Pha Chế 3Kg/0.1g (Tặng Kèm Khay Trong Suốt I2000),209 Đã bán,https://www.lazada.vn/products/pdp-i2439073989.html,
Điện,Shop Hoàng Bách,,,,-8,4.9,Công Tơ Điện Tử 4 Thông Số 80A 220V có RESET độ chính xác cao màn hình LCD,41 Đã bán,https://www.lazada.vn/products/pdp-i2792861171.html,
Điện,FOXSUR VIỆT NAM,199.920 ₫,-50%,99960,-55,4.8,Công tơ điện tử 1 pha đo điện năng tiêu thụ kwh LW công suất lớn 60A 15KW màn hình LCD hiển thị kỹ thuật số hàng CHÍNH HÃNG,246 Đã bán,https://www.lazada.vn/products/pdp-i1299156694.html,
Dụng cụ cầm tay & phụ kiện,Linh Kiện 024,51.500 ₫,-4%,49440,-487,4.8,"Đồng hồ đo điện tử vạn năng DT830B Digital Multimeter, đồng hồ đo điện tử đa năng, đo điện áp, ampe, diode hiển thị kỹ thuật số, đồng hồ đo có kèm pin theo",1.4K Đã bán,https://www.lazada.vn/products/pdp-i1339643352.html,
Dụng cụ đo lường,Home elictric,119.000 ₫,-25%,89250,-6,4.3,Công tơ điện tử 1 pha 220V-80A LW - đồng hồ đo công suất tiêu thụ Kwh,27 Đã bán,https://www.lazada.vn/products/pdp-i1570212121.html,
Điện,FTP Mobie,249.000 ₫,-34%,164340,-84,4.8,Thiết bị đo công suất 100A 220V công tơ điện tử màn hình LCD hiển thị 6 thông số đồng hồ điện tử,373 Đã bán,https://www.lazada.vn/products/pdp-i789924037.html,
Điện,TBĐ NAM ĐỊNH,,,,-3,4.7,Đồng hồ đo công suất tiêu thụ Kwh 220v- 60A - Công tơ điện tử 1 pha Nakasi,15 Đã bán,https://www.lazada.vn/products/pdp-i2825278348.html,
Điện,Store Houseware,198.000 ₫,-57%,85140,-68,4.9,"Thiết bị tiết kiệm điện Eletricity saving box ( đảm bảo tiết kiệm 100%) - Thiết Bị Tiết Kiệm Điện, Máy Tiết Kiệm Điện Eletricity Saving Box 220V, Thiết Bị Tiết Kiệm Điện Thông Minh Giữ Nguồn Điện Ổn Định Bộ Tiết Kiệm Điện Đa Năng",280 Đã bán,https://www.lazada.vn/products/pdp-i2737629783.html,
Điện,Awesome home,90.000 ₫,-29%,63900,-40,4.9,Ổ Cắm Điện Thông Minh Đa Năng Có 2 Cổng Sạc usb Chất Lượng Cao,139 Đã bán,https://www.lazada.vn/products/pdp-i2951352451.html,
Điện,Thế Giới Linh Kiện 720,150.000 ₫,-36%,96000,-75,4.7,"Đồng hồ đo điện tử đa năng DT9205A, đo điện áp, dòng điện, vôn kế... có kèm pin 9V, bảo hành 1 tháng",236 Đã bán,https://www.lazada.vn/products/pdp-i1427130713.html,
Dụng cụ đo lường,HomelifeOfficialStore,194.923 ₫,-27%,142293,-115,4.8,(Thanh lý lỗ) ⚡Đồng hồ vạn năng DT9205A màn hình kỹ thuật số đồng hồ vạn năng thông minh Máy đo bảo dưỡng thợ điện chính xác cao,333 Đã bán,https://www.lazada.vn/products/pdp-i1904497392.html,
Điện,Phương Đông Lighting,170.000 ₫,-32%,115600,-692,4.9,Đồng hồ đo điện vạn năng Samwa YX-360 TRn,2.4K Đã bán,https://www.lazada.vn/products/pdp-i1640031219.html,
Dụng cụ cầm tay & phụ kiện,Thế Giới Thợ Xe,487.000 ₫,-54%,224020,-21,5,Đồng hồ vạn năng UT33D+ | Đồng hồ đo điện đa năng điện tử hiển thị số - Thế Giới Thợ Xe,58 Đã bán,https://www.lazada.vn/products/pdp-i1985148452.html,
Điện,CleverOfficial Store,90.990 ₫,-40%,54594,-5,5,"⚡Miễn Phí Vận Chuyển⚡ Ổ Cắm Điện Power Strip Đa Năng Thông Minh-Ổ cắm điện thông minh kèm cổng sạc 2 USB，5 plugs, 9 universal socket",22 Đã bán,https://www.lazada.vn/products/pdp-i2630667207.html,
Điện,homeappliancescollectionstore,255.000 ₫,-43%,145350,-3,5,"【🔥Rẻ】 AC Màn Hình 6 Trong 1 KWh Công Suất Đo Tần Số 110V 220V 380V 100A, Điện Hệ Số Công Suất Hoạt Động màn Hình",6 Đã bán,https://www.lazada.vn/products/pdp-i3108700924.html,
Dụng cụ đo lường,Linh Kiện Điện Tử Chợ Trời Hà Nội,33.000 ₫,-33%,22110,-5,5,"Đồng hồ đo điện vạn năng Diymore ANENG M113, đo volt, điện trở",31 Đã bán,https://www.lazada.vn/products/pdp-i2707652807.html,
Điện,hoangvietstore,60.000 ₫,-25%,45000,-191,4.8,Ổ Điện 3 Cổng Sạc USB Cắm Điện Thoại Tiện Lợi Đa Năng,738 Đã bán,https://www.lazada.vn/products/pdp-i1557390801.html,
Điện,newstyle vn,76.700 ₫,-7%,71331,-263,4.8,"[Giao hàng 12 giờ⚡️] Ổ cắm điện thông minh 5 phích cắm, 2 cổng sạc USB, 9 ổ cắm đa năng dây dài 1,8 mét điện đa năng có công tắc, điện thông minh, phích cắm điện chống giật, phích cắm đa năng",851 Đã bán,https://www.lazada.vn/products/pdp-i2609038736.html,
Điện,Linh Kiện 024,73.000 ₫,-3%,70810,-115,4.7,Combo 3 món đồng hồ điện tử XL830L + Mỏ hàn chỉnh nhiệt TQ936 + Hút thiếc chì mini sửa chữa điện tử hàn mạch đo điện V1,367 Đã bán,https://www.lazada.vn/products/pdp-i1963236385.html,
Đồ gia dụng chăm sóc cá nhân,ZODAN Corporation,278.000 ₫,-64%,100080,-1736,4.9,"Máy mát xa cầm tay, massage toàn thân ZB720 Với 4 Đầu Thay Thế 6 Cấp Độ BH 12 Tháng",5.5K Đã bán,https://www.lazada.vn/products/pdp-i2531814408.html,
"Thiết bị sưởi, làm lạnh và thông gió",JYShiZhiKeJi,62.200 ₫,-48%,32344,-8824,4.9,"Quạt Tích Điện Mini Super Fan, Để Bàn Văn Phòng Gấp Gọn Có Thể Kéo Dài 3 Tốc Độ Gió Xoay 360 Độ Cổng sạc USB",30.8K Đã bán,https://www.lazada.vn/products/pdp-i2535083203.html,
Thiết bị đeo thông minh,Pilot Star_VN.Selection,43.700 ₫,-58%,18354,-1211,5,Đồng Hồ Trẻ Em Đồng Hồ Điện Tử Cho Bé Trai Đồng Hồ Báo Thức Thể Thao Chống Nước Đa Chức Năng,3.7K Đã bán,https://www.lazada.vn/products/pdp-i2529039768.html,
Phụ kiện điện thoại & máy tính bảng,Shen Zhen 3C,500.000 ₫,-70%,150000,-76,4.6,"Pin Sạc Dự Phòng 100% Chính Hãng 100000mAh, Sạc Nhanh, Kèm 4 Cáp, Pin Dự Phòng Di Động 100000mAh",218 Đã bán,https://www.lazada.vn/products/pdp-i3189226440.html,
Phụ kiện điện thoại & máy tính bảng,Shen Zhen 3C,500.000 ₫,-68%,160000,-39,4.4,Sạc dự phòng100000mAh cổng sạc nhanh 120W pd20W kèm 4 đầu cáp sạc màn hình led bảo hành 12 tháng,137 Đã bán,https://www.lazada.vn/products/pdp-i3189143990.html,
Phụ kiện điện thoại & máy tính bảng,Shen Zhen 3C,490.000 ₫,-67%,161700,-20,4.8,"Bùng nổ 100000mAh sạc dự phòng 50000mAh,2 cổng sạc đầu vào, 4 cổng USB sạc, hiển thị dung lượng kỹ Bùng nổ 100000mAh sạc dự phòng 50000mAh,2 cổng sạc đầu vào, 4 cổng USB sạc, hiển thị dung lượng kỹ thuật sốthuật số",73 Đã bán,https://www.lazada.vn/products/pdp-i3189188451.html,
Thiết bị đeo thông minh,Pilot Star_VN.Selection,16.500 ₫,-33%,11055,-555,4.8,"Thiết kế cổ điển Đồng hồ nam kỹ thuật số LED, đồng hồ thép",1.8K Đã bán,https://www.lazada.vn/products/pdp-i2529200179.html,
Smartphones,LPK_dienthoaigiare,299.000 ₫,-3%,290030,-78,4.4,Điện thoại oppo neo5 _a31. Điện thoại gia rẻ HÀNG CHÍNH HÃNG đã qua sử dụng,182 Đã bán,https://www.lazada.vn/products/pdp-i2500695835.html,
Phụ kiện điện thoại & máy tính bảng,NAICHONG MALL,80.000 ₫,-44%,44800,-15,4.2,"NAICHONG Mini Pin sạc dự phòng với bốn được xây dựng trong cáp, 20000mAh dung tích lớn đồ sạc di động",56 Đã bán,https://www.lazada.vn/products/pdp-i3141279173.html,
Thiết bị đeo thông minh,Pilot Star_VN.Selection,40.100 ₫,-29%,28471,-138,4.9,Đồng hồ thể thao sinh viên tối giản xu hướng khí chất cá nhân cảm ứng phát sáng gương màn hình đồng hồ vuông phong cách Ins,779 Đã bán,https://www.lazada.vn/products/pdp-i2545533423.html,
Phụ kiện điện thoại & máy tính bảng,Siêu thị nhập khẩu Sakurato,528.000 ₫,-49%,269280,-82,4.9,(TẶNG CÁP SẠC NHANH) PIN Dự Phòng CONTAINER 50000mAh  tích hợp 4 dây ra bảo hành 12 Tháng phụ Kiện Điện Thoại Pin Dự Phòng Sạc Pin Đèn,412 Đã bán,https://www.lazada.vn/products/pdp-i3058537778.html,
Điện,GlobalLifestyle,582.000 ₫,-53%,273540,-64,5,KWS-X1 4V-30V 12A Loại C Khuếch Phát Hiện Sạc Nhanh Dung Lượng Đo Màn Hình Hiển Thị Kỹ Thuật Số Bút Thử Điện,401 Đã bán,https://www.lazada.vn/products/pdp-i3120436965.html,
Điện,NingXiangShiHaiJunDaiBaiHuoDian,178.490 ₫,-50%,89245,,,Đồng hồ vạn năng Thông Minh Kỹ Thuật Số Chống cháy VC921 hiển thị độ chính xác cao đa năng bỏ túi,6 Đã bán,https://www.lazada.vn/products/pdp-i2783818011.html,
Phụ kiện Máy tính,xDnUIM.Selection,49.000 ₫,-29%,34790,-6227,5,"Ổ cắm điện đa chức năng , gồm 6 đầu chuyển , tiện lợi , dễ di chuyển",17.7K Đã bán,https://www.lazada.vn/products/pdp-i2534662796.html,
Phụ kiện điện thoại & máy tính bảng,Sun_mon,200.000 ₫,-18%,164000,-3,5,[28] Box Sạc QC4.0 Sạc Nhanh Không Hàn 4 * 21700 Trong Suốt SCP25W Vooc 22.5W PD20W QC18W Chưa Có Pin,11 Đã bán,https://www.lazada.vn/products/pdp-i3163263073.html,
Thiết bị theo dõi GPS & Phụ kiện,LadyTime_Shop,290.000 ₫,-48%,150800,-27,4.9,"Thiết Bị Định Vị GPS Hoco E100 , Định Vị Chính Xác , Không Giới Hạn Khoảng Cách , Theo Dõi Trẻ Em , Đồ Vật ,Tránh Thất Lạc",193 Đã bán,https://www.lazada.vn/products/pdp-i3207757520.html,
Smartphones,Smartchoice 247,600.000 ₫,-50%,300000,-22,4.6,Điện Thoại Thông Minh Giá Rẻ Samsung Galaxy J2 prime G532 Hỗ Trợ 4G Máy Cũ Tân Trang,87 Đã bán,https://www.lazada.vn/products/pdp-i3065998302.html,
Thiết bị nhà bếp,ZODAN Corporation,198.000 ₫,-50%,99000,-1943,4.9,"[BH 1 NĂM] Ấm đun siêu tốc, Bình đun nước siêu tốc 2.3L - Bảo Hành 1 Năm",5.1K Đã bán,https://www.lazada.vn/products/pdp-i2531847264.html,
Nhà thông minh,Hometek,117.000 ₫,-42%,67860,-1149,4.9,"Công tắc điều khiển từ xa Công suất lớn 3000W - 220V, Bh 1 tháng",5.4K Đã bán,https://www.lazada.vn/products/pdp-i2024613592.html,
Điện,bansi08,70.000 ₫,-39%,42700,-13,4.8,Combo 2 ổ Cắm Điện Thông Minh Đa Năng Cổng Sạc USB Tiện Dụng,60 Đã bán,https://www.lazada.vn/products/pdp-i2626208182.html,
Trang trí nhà cửa,Vinetteam Store,132.900 ₫,-35%,86385,-29,4.7,"Đồng Hồ Báo Thức Điện Tử Để Bàn Màn Hình LCD Đa Chức Năng: Thời Gian, Lịch, Báo Thức, Nhiệt Độ -dc2998",118 Đã bán,https://www.lazada.vn/products/pdp-i1383975156.html,
Đèn,Điện Việt,84.000 ₫,-29%,59640,-651,4.8,Đèn bàn học bài đọc sách đa năng loại tốt -  Điện Việt,2.1K Đã bán,https://www.lazada.vn/products/pdp-i248018800.html,
Phụ kiện điện thoại & máy tính bảng,Siêu thị nhập khẩu Sakurato,375.000 ₫,-41%,221250,-378,4.9,"Sạc Dự Phòng 30000mAh 120W Trong Suốt Sạc Siêu Nhanh Siêu Bền Kết Hợp Led Soi Sáng Với 4 Đầu Sạc Và 3 Cổng Sạc Tiện Dụng 2 Cổng USB, 1 Cổng Type C",1.4K Đã bán,https://www.lazada.vn/products/pdp-i2662954801.html,
Điện,Đàn Nguyễn Store,75.000 ₫,-5%,71250,-9,5,Ổ cắm chia điện đa năng 2500W chân 2 chấu đi kèm cổng sạc Usb 5V2A có đèn ngủ và công tắc riêng,29 Đã bán,https://www.lazada.vn/products/pdp-i3097313235.html,
Phụ kiện điện thoại & máy tính bảng,KnHNvryq,780.000 ₫,-57%,335400,,,Sạc dự phòng 90000mAh sạc nhanh 120W pin PD20W dung lượng lớn có dây cắm nhiều điện thoại sạc sự Dựng phòng LED,,https://www.lazada.vn/products/pdp-i3199943958.html,
Điện,Cosette,58.000 ₫,-33%,38860,-54,4.8,Ổ Cắm Điện Thông Minh Đa Năng Cổng Sạc USB Tiện Dụng,205 Đã bán,https://www.lazada.vn/products/pdp-i2279881737.html,
Phụ kiện điện thoại & máy tính bảng,ZAPLY,345.000 ₫,-33%,231150,-23,4.7,Sạc dự phòng100000mAh cổng sạc nhanh 120W pd20W kèm 4 đầu cáp sạc màn hình led bảo hành 12 tháng,82 Đã bán,https://www.lazada.vn/products/pdp-i3183903202.html,
Điện,TỔNG KHO GIA DỤNG 1587825305,,,,-43,4.8,"Ổ điện đa năng sạc nhanh, ổ cắm điện tự ngắt dây nối dài ổ điện thông minh chịu tải cao 2200w",140 Đã bán,https://www.lazada.vn/products/pdp-i2708808190.html,
Phụ kiện điện thoại & máy tính bảng,CHANG TAN,180.000 ₫,-56%,79200,-122,4.7,"GIÁ SỈ TẶNG CÁP SẠC NHANH 39K - PIN TRÂU 30000MAH, PIN SẠC DỰ PHÒNG CAO CẤP THIẾT KẾ MÀN HÌNH GƯƠNG 2 CỔNG SẠC NHANH",177 Đã bán,https://www.lazada.vn/products/pdp-i2634869031.html,
Nhà thông minh,Hometek,100.000 ₫,-32%,68000,-957,4.9,[HCM]Công tắc điều khiển từ xa RF 2 cổng 4 cổng độc lập xuyên tường + màu Trắng + Kèm Pin Remote,3.8K Đã bán,https://www.lazada.vn/products/pdp-i1097624605.html,
Điện,Gia Dụng PINGS,110.000 ₫,-37%,69300,-27,4.8,Ổ điện đa năng ổ cắm điện thông minh 2200W chống giật chống cháy 4 ổ USB 5V2A và đèn ngủ tiện lợi,108 Đã bán,https://www.lazada.vn/products/pdp-i2433640919.html,
Dụng cụ đo lường,YZL-tools,147.000 ₫,-46%,79380,-36,5,Đồng hồ vạn năng kỹ thuật số Mini 4000 đếm AC DC dụng cụ điện Tester Auto multimetro kỹ thuật số Profesional Meter,6 Đã bán,https://www.lazada.vn/products/pdp-i2302404321.html,
Đồ gia dụng chăm sóc cá nhân,KHO BÁCH HÓA QUẢNG NGÃI,199.000 ₫,-50%,99500,-2,5,"T10 Bàn chải điện Electric 5 chế độ làm sạch, sạc qua dây USB tặng kèm 4 đầu chải mềm mịn, bảo vệ sức khỏe răng miệng gia đình bạn. Bảo hành 6 tháng",5 Đã bán,https://www.lazada.vn/products/pdp-i3211688195.html,
Trang trí nhà cửa,Esc Viet Nam,65.000 ₫,-10%,58500,,,"Đồng Hồ Báo Thức Điện Tử Để Bàn Màn Hình LCD Đa Chức Năng: Thời Gian, Lịch, Báo Thức, Nhiệt Độ -dc2998 dong ho bao t huc",,https://www.lazada.vn/products/pdp-i2178955695.html,
Phụ kiện điện thoại & máy tính bảng,ZAPLY,337.500 ₫,-33%,226125,-9,4.4,"Bộ sạc điện thoại 50.000MAH , 4 cổng USB, sạc nhanh PD 120W, bảo hành 6 tháng sạc dự phòng di động dung lượng lớn  đi kè",45 Đã bán,https://www.lazada.vn/products/pdp-i3183867327.html,
Điện,NAYA STORE,324.000 ₫,-59%,132840,-311,4.9,【Miễn phí vận chuyển】NAYA Máy đo đa năng mini đa phương tiện kỹ thuật số ANENG M118A đồng hồ vạn năng đo lường nhận dạng tự động,917 Đã bán,https://www.lazada.vn/products/pdp-i2019689729.html,
Điện,ForesightOfficialStore,87.900 ₫,-40%,52740,-17,4.5,"Ổ cắm điện thông minh 5 phích cắm, 2 cổng sạc USB, 9 ổ cắm đa năng dây dài 1,8 mét điện đa năng có công tắc",44 Đã bán,https://www.lazada.vn/products/pdp-i2638967012.html,
Điện,smart world,249.000 ₫,-30%,174300,-22,4.8,Thiết bị đo công suất 100A 220V công tơ điện tử màn hình LCD hiển thị 6 thông số đồng hồ điện tử,105 Đã bán,https://www.lazada.vn/products/pdp-i789860944.html,
Điện,NAYA STORE,188.000 ₫,-58%,78960,-61,4.6,【Miễn phí vận chuyển】ANENG Đồng Hồ Vạn Năng Kỹ Thuật Số DM850 Máy Kiểm Tra Điện Áp AC/DC Tự Động 1999 Số Đếm Công Cụ Dò Ampe Kế Ohm Dòng Điện,289 Đã bán,https://www.lazada.vn/products/pdp-i2062400662.html,
Thiết bị y tế,Thiết Bị KQ,,,,-2,5,Đồng hồ điện tử kiêm nhiệt ẩm kế siêu mỏng,20 Đã bán,https://www.lazada.vn/products/pdp-i264602105.html,
Smartphones,MYSON MOBILE,419.000 ₫,-29%,297490,-33,4.4,"điện thoại Xiaomi Redmi Note 10 2sim ram 6G/128G Chính hãng, cấu hình khủng Cân game mượt - CMS",78 Đã bán,https://www.lazada.vn/products/pdp-i2879921936.html,
Đồ gia dụng chăm sóc cá nhân,SADA Shopping Mall,272.000 ₫,-34%,179520,-54,4.9,SADA 120W sạc dự phòng 20000 mAh sạc siêu nhanh dung tích lớn Sạc dự phòng di động sạc dự phòng Phù hợp với Huawei Apple,88 Đã bán,https://www.lazada.vn/products/pdp-i2943071571.html,
Phụ kiện điện thoại & máy tính bảng,Siêu thị nhập khẩu Sakurato,590.000 ₫,-51%,289100,-58,4.9,"(Tặng thêm cáp 4in1) Sạc Pin Dự Phòng 50000mah Tên PD120W Bảo hành 12 tháng Trong Suốt Có đồng hồ Hiển Thị Hiệu Điện Thế(V), Cường độ dòng điện(A) tích hợp 10 đèn Led",215 Đã bán,https://www.lazada.vn/products/pdp-i2945486165.html,
Phụ kiện điện thoại & máy tính bảng,violet56,147.000 ₫,-33%,98490,-5,5,"Sạc Siêu Nhanh 66W 20000MAh Cáp Tự Dây Điện Dung Tích Lớn, In Logo Nguồn Điện Di Động Trong Suốt Quà Tặng",17 Đã bán,https://www.lazada.vn/products/pdp-i3121216575.html,
Điện,Good Luck VN,208.000 ₫,-52%,99840,-65,5,"Đồng hồ đo điện, loại kim, model vạn năng sunma sanwai YX-360TR, tặng kèm 2 pin AA + 1 pin 9V, loại con trỏ YX-360TRN, đồng hồ vạn năng analog, đồng hồ điện sunwa",113 Đã bán,https://www.lazada.vn/products/pdp-i2465263003.html,
Phụ kiện Máy tính,Vinetteam Store,162.000 ₫,-47%,85860,-36,4.8,Xả hàng - Bàn phím không dây Bluetooth mini cho máy tính bảng/BÀN PHÍM  KÈM CHUỘT KEYBOARD + MOUSE BLUETOOTH KHÔNG DÂY MINI KIT dùng Pin AA,65 Đã bán,https://www.lazada.vn/products/pdp-i1073560656.html,
Điện,A_hoco__Store,229.000 ₫,-41%,135110,-23,4.9,【🔥HCM/24H】Đồng hồ vạn năng DT9205A màn hình kỹ thuật số đồng hồ vạn năng thông minh Máy đo bảo dưỡng thợ điện chính xác cao,57 Đã bán,https://www.lazada.vn/products/pdp-i1904566071.html,
Điện,Samebeauty,341.167 ₫,-40%,204700,-4,4,[Giao hàng 24 giờ⚡️] Đồng hồ đo điện áp D52-2066 6 trong 1 đa năng 110V 220V 380V 100A,17 Đã bán,https://www.lazada.vn/products/pdp-i2807379856.html,
Phụ kiện điện thoại & máy tính bảng,CHANG TAN,180.000 ₫,-56%,79200,-87,4.7,[ FREESHIP KÈM CÁP SẠC] PIN SẠC DỰ PHÒNG CAO CẤP THIẾT KẾ MÀN HÌNH LED CỰC SANG TRỌNG - 2 CỔNG SẠC NHANH + ĐÈN LED SIÊU SÁNG TẦM NHÌN TỐT - SẠC DỰ PHÒNG AN TOÀN CHO MỌI DÒNG ĐIỆN THOẠI,129 Đã bán,https://www.lazada.vn/products/pdp-i2620443676.html,
An toàn & bảo mật,Tonnifu dụng cụ điện,180.000 ₫,-45%,99000,-82,4.9,"Đèn Pha LED Tonnifu 905 Dùng Pin Chân Phổ Thông - 21V Chung Pin Máy Khoan, Bulong",224 Đã bán,https://www.lazada.vn/products/pdp-i2825587562.html,
Thiết bị thông minh,phụ kiện đèn led,,,,,,Màn Hình LED Trang Trí Thông Minh Chỉnh Qua App Điện Thoại,,https://www.lazada.vn/products/pdp-i3180463209.html,
Dụng cụ đo lường,ĐìnhVăn Shop,154.000 ₫,-7%,143220,,,Đồng hồ đo vạn năng Digital DT-9205A,,https://www.lazada.vn/products/pdp-i2044181848.html,
Điện,Plata,85.000 ₫,-24%,64600,-2,5,Đồng hồ đo điện Volt Ohm Amp AC/DC đa năng Digital Multimeter DT-830B cho thợ điện tử thiết kế nhỏ gọn dễ sử dụng chi phí thấp,16 Đã bán,https://www.lazada.vn/products/pdp-i2592565128.html,
